url,category
tvn24.pl,informacyjna
onet.pl,informacyjna
wp.pl,informacyjna
interia.pl,informacyjna
pclab.pl,komputery
purepc.pl,komputery
benchmark.pl,komputery
komputerswiat.pl,komputery
mbank.pl,bank
ingbank.pl,bank
pkobp.pl,bank
tvp.info,informacyjna
aliorbank.pl/pl,bank
chip.pl,komputery
pekao.com.pl,bank
bzwbk.pl,bank
getinbank.pl,bank
bankmillennium.pl,bank
raiffeisenpolbank.com,bank
bgk.com.pl,bank
wprost.pl,informacyjna
tokfm.pl,informacyjna
pcworld.pl,komputery
pccentre.pl,komputery
pcformat.pl,komputery
frazpc.pl,komputery
twojepc.pl,komputery
ideabank.pl,bank
bnpparibas.pl,bank
gazeta.pl,informacyjna
rp.pl,informacyjna
dziennik.pl,informacyjna
rialto.pl,hotel
regent-warsaw.com,hotel
hotelmdm.com.pl,hotel
hotelediament.pl,hotel
hotelwarszawa.pl,hotel
sheraton.pl,hotel
radissonblu.pl/sobieski-warsaw,hotel
